CFOP;Descrição;Início;Fim
1101;Compra para industrialização;2009-01-01;
1102;Compra para comercialização;2009-01-01;
1111;Compra para industrialização de mercadoria recebida anteriormente em consignação industrial;2009-01-01;
1113;Compra para comercialização, de mercadoria recebida anteriormente em consignação mercantil;2009-01-01;
1116;Compra para industrialização originada de encomenda para recebimento futuro;2009-01-01;
1117;Compra para comercialização originada de encomenda para recebimento futuro;2009-01-01;
1118;Compra de mercadoria para comercialização pelo adquirente originário, entregue pelo vendedor remetente ao destinatário, em venda à ordem;2009-01-01;
1120;Compra para industrialização, em venda à ordem, já recebida do vendedor remetente;2009-01-01;
1121;Compra para comercialização, em venda à ordem, já recebida do vendedor remetente;2009-01-01;
1122;Compra para industrialização em que a mercadoria foi remetida pelo fornecedor ao industrializador sem transitar pelo estabelecimento adquirente;2009-01-01;
1124;Industrialização efetuada por outra empresa;2009-01-01;
1125;Industrialização efetuada por outra empresa quando a mercadoria remetida para utilização no processo de industrialização não transitou pelo estabelecimento adquirente da mercadoria;2009-01-01;
1126;Compra para utilização na prestação de serviço;2009-01-01;
1151;Transferência para industrialização;2009-01-01;
1152;Transferência para comercialização;2009-01-01;
1153;Transferência de energia elétrica para distribuição;2009-01-01;
1154;Transferência para utilização na prestação de serviço;2009-01-01;
1159;Entrada decorrente do fornecimento de produto ou mercadoria de ato cooperativo;2018-09-01;
1201;Devolução de venda de produção do estabelecimento;2009-01-01;
1202;Devolução de venda de mercadoria adquirida ou recebida de terceiros;2009-01-01;2022-05-31
1202;Devolução de venda de mercadoria adquirida ou recebida de terceiros, ou qualquer devolução de mercadoria efetuada pelo MEI com exceção das classificadas nos códigos 1.503, 1.504, 1.505 e 1.506;2022-06-01;
1203;Devolução de venda de produção do estabelecimento, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio;2009-01-01;
1204;Devolução de venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio;2009-01-01;
1205;Anulação de valor relativo à prestação de serviço de comunicação;2009-01-01;
1206;Anulação de valor relativo à prestação de serviço de transporte;2009-01-01;
1207;Anulação de valor relativo à venda de energia elétrica;2009-01-01;
1208;Devolução de produção do estabelecimento, remetida em transferência;2009-01-01;
1209;Devolução de mercadoria adquirida ou recebida de terceiros, remetida em transferência;2009-01-01;
1251;Compra de energia elétrica para distribuição ou comercialização;2009-01-01;
1252;Compra de energia elétrica por estabelecimento industrial;2009-01-01;
1253;Compra de energia elétrica por estabelecimento comercial;2009-01-01;
1254;Compra de energia elétrica por estabelecimento prestador de serviço de transporte;2009-01-01;
1255;Compra de energia elétrica por estabelecimento prestador de serviço de comunicação;2009-01-01;
1256;Compra de energia elétrica por estabelecimento de produtor rural;2009-01-01;
1257;Compra de energia elétrica para consumo por demanda contratada;2009-01-01;
1301;Aquisição de serviço de comunicação para execução de serviço da mesma natureza;2009-01-01;
1302;Aquisição de serviço de comunicação por estabelecimento industrial;2009-01-01;
1303;Aquisição de serviço de comunicação por estabelecimento comercial;2009-01-01;
1304;Aquisição de serviço de comunicação por estabelecimento de prestador de serviço de transporte;2009-01-01;
1305;Aquisição de serviço de comunicação por estabelecimento de geradora ou de distribuidora de energia elétrica;2009-01-01;
1306;Aquisição de serviço de comunicação por estabelecimento de produtor rural;2009-01-01;
1351;Aquisição de serviço de transporte para execução de serviço da mesma natureza;2009-01-01;
1352;Aquisição de serviço de transporte por estabelecimento industrial;2009-01-01;
1353;Aquisição de serviço de transporte por estabelecimento comercial;2009-01-01;
1354;Aquisição de serviço de transporte por estabelecimento de prestador de serviço de comunicação;2009-01-01;
1355;Aquisição de serviço de transporte por estabelecimento de geradora ou de distribuidora de energia elétrica;2009-01-01;
1356;Aquisição de serviço de transporte por estabelecimento de produtor rural;2009-01-01;
1360;Aquisição de serviço de transporte por contribuinte substituto em relação ao serviço de transporte.;2009-01-01;
1401;Compra para industrialização em operação com mercadoria sujeita ao regime de substituição tributária;2009-01-01;
1403;Compra para comercialização em operação com mercadoria sujeita ao regime de substituição tributária;2009-01-01;
1406;Compra de bem para o ativo imobilizado cuja mercadoria está sujeita ao regime de substituição tributária;2009-01-01;
1407;Compra de mercadoria para uso ou consumo cuja mercadoria está sujeita ao regime de substituição tributária;2009-01-01;
1408;Transferência para industrialização em operação com mercadoria sujeita ao regime de substituição tributária;2009-01-01;
1409;Transferência para comercialização em operação com mercadoria sujeita ao regime de substituição tributária;2009-01-01;
1410;Devolução de venda de produção do estabelecimento em operação com produto sujeito ao regime de substituição tributária;2009-01-01;
1411;Devolução de venda de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária;2009-01-01;
1414;Retorno de produção do estabelecimento, remetida para venda fora do estabelecimento em operação com produto sujeito ao regime de substituição tributária;2009-01-01;
1415;Retorno de mercadoria adquirida ou recebida de terceiros, remetida para venda fora do estabelecimento em operação com mercadoria sujeita ao regime de substituição tributária;2009-01-01;
1451;Retorno de animal do estabelecimento produtor;2009-01-01;2019-11-30
1451;Entrada de animal - Sistema de Integração e Parceria Rural;2019-12-01;
1452;Retorno de insumo não utilizado na produção;2009-01-01;2019-11-30
1452;Entrada de insumo - Sistema de Integração e Parceria Rural;2019-12-01;
1453;Retorno do animal ou da produção - Sistema de Integração e Parceria Rural;2019-12-01;
1454;Retorno simbólico do animal ou da produção - Sistema de Integração e Parceria Rural;2019-12-01;
1455;Retorno de insumo não utilizado na produção - Sistema de Integração e Parceria Rural;2019-12-01;
1456;Entrada referente a remuneração do produtor no Sistema de Integração e Parceria Rural;2019-12-01;
1501;Entrada de mercadoria recebida com fim específico de exportação;2009-01-01;
1503;Entrada decorrente de devolução de produto remetido com fim específico de exportação, de produção do estabelecimento;2009-01-01;
1504;Entrada decorrente de devolução de mercadoria remetida com fim específico de exportação, adquirida ou recebida de terceiros;2009-01-01;
1505;Entrada decorrente de devolução simbólica de mercadorias remetidas para formação de lote de exportação, de produtos industrializados ou produzidos pelo próprio estabelecimento.;2009-01-01;2018-08-31
1505;Entrada decorrente de devolução de mercadorias remetidas para formação de lote de exportação, de produtos industrializados ou produzidos pelo próprio estabelecimento.;2018-09-01;
1506;Entrada decorrente de devolução simbólica de mercadorias, adquiridas ou recebidas de terceiros, remetidas para formação de lote de exportação.;2009-01-01;2018-08-31
1506;Entrada decorrente de devolução de mercadorias, adquiridas ou recebidas de terceiros, remetidas para formação de lote de exportação;2018-09-01;
1551;Compra de bem para o ativo imobilizado;2009-01-01;
1552;Transferência de bem do ativo imobilizado;2009-01-01;
