COD_AJ_APUR;"DESCRICAO";INICIO;FIM
GO000001;"Débito referente ao valor compensado do ICMS de substituição tributária.";2009-01-01;2024-06-30
GO000002;"Débito referente ao valor da restituição de crédito de ICMS normal, concedida mediante processo (recebimento em moeda)";2009-01-01;2024-06-30
GO000002;"Débito referente ao valor da restituição de crédito de ICMS normal, concedida mediante processo (recebimento em moeda). Art. 486 do RCTE.";2024-07-01;
GO000003;"Baixa do cr. relativo ao valor adicional de 2% na alíquota de ICMS, utilizado para abater o ICMS Subst. Tributária. PROTEGE. - CTE - Art. 27, § 5º e IN 784/06 Art. 6";2009-01-01;2014-11-30
GO000004;"Débito referente ao estorno do cheque-moradia por saldo insuficiente no campo ""Observações"" do RAICMS - IN 575/02-GSF - Art. 1, § 3º, II";2009-01-01;2015-06-30
GO000005;"ICMS debitado qdo, conf. TARE, o imposto devido por ST pelas op anteriores seja apurado junt c/ aquele devido pela op saída própria do estab eleito substituto, resultando um só déb por período nas aquisições - RCTE - Art. 14, § Único - Anexo VIII";2009-01-01;2018-07-30
GO000006;"ICMS debitado na saída de mercadoria remetida sem destinatário certo, por qualquer meio de transporte, para realização de operação fora do estabelecimento - RCTE - Art. 28, § 2º - Anexo XII";2009-01-01;
GO000007;"Déb. do imposto relativo ao frete, quando não tiver integrado a base de cálculo para efeito de retenção, exceto quanto ao veículo automotor, apurado conforme Art. 42 do Anexo VIII do RCTE - RCTE - Art. 42, I, ""a"" e § Único - Anexo VIII";2009-01-01;
GO000008;"Débito do imposto relativo a embalagem ou acondicionamento, quando não tiver integrado a base de cálculo para efeito de retenção, apurado conforme Art. 42 do Anexo VIII do RCTE - RCTE - Art. 42, II e § Único - Anexo VIII";2009-01-01;
GO000009;"Déb. do imposto relativo a determinadas merc. não sujeita ao regime de ST, qdo comercializada ou fornecida de forma associada a uma mercadoria submetida a este regime. - RCTE - Art. 42, III e § Único - Anexo VIII";2009-01-01;
GO000010;"Déb. do imp. qdo o contrib estabel neste estado adquirir merc. suj. ao regime de ST de contrib com med. judicial liminar, ou de contrib sediado em UF com denúncia de conv ou protoc - RCTE - Art. 42, IV; § Único e Art. 34, § Único, II, ""a"", 2 - Anexo VIII";2009-01-01;
GO000011;"Comp. ICMS devido ST com o saldo credor acumulado - operação com destino a contribuinte do imposto estabelecido em outra UF e alcançada pela substituição tributária - RCTE - Art. 45, II e Art. 46, § 4º - Anexo VIII";2009-01-01;2013-07-31
GO000012;"Baixa pela restituição do saldo credor acumulado - operação com destino a contribuinte do imposto estabelecido em outra UF e alcançada pela substituição tributária - RCTE - Art. 45, II e Art. 46, § 4º - Anexo VIII";2009-01-01;2016-09-30
GO000012;"Baixa pela restituição do saldo credor acumulado - operação com destino a outra unidade da Federação e alcançada pela substituição tributária. -RCTE - Art. 45, II e Art.  46, § 4º - Anexo VIII";2016-10-01;2024-06-30
GO000012;"Baixa pela restituição do saldo credor acumulado (em moeda), mediante processo, em virtude de oper. com destino a outra UF  alcançada pela substituição tributária. Art. 45, II e Art.  46, § 4º IIIdo  Anexo VIII do RCTE.";2024-07-01;
GO000013;"Baixa pela restituição do saldo credor acumulado - desfazimento do negócio ou devolução total ou parcial. - RCTE - Art. 45, VI e Art. 46, § 4º - Anexo VIII";2009-01-01;2024-06-30
GO000013;"Baixa pela restituição do saldo credor acumulado (em moeda), mediante processo, em razão do desfazimento do negócio ou devolução total/ parcial. Art. 45, VI e Art. 46, § 4º III do Anexo VIII do RCTE.";2024-07-01;
GO000014;"Comp. ICMS devido ST com o saldo credor acumulado - desfazimento do negócio ou devolução total ou parcial. - RCTE - Art. 45, VI e Art. 46, § 4º - Anexo VIII";2009-01-01;2013-07-31
GO000015;"Comp. ICMS dev. por ST com saldo credor acumulado - op interna realizada p/ contrib industr ou comerciante atac. c/ destino a empresa de const. civil, a órgão da adm pub direta/hospital e clínica de saúde - RCTE - Art. 45, X e Art. 46, § 4º - Anexo VIII";2009-01-01;2013-07-31
GO000016;"Baixa pela restituição do saldo credor acumul - op interna realizada p/ contrib. indust. ou comerciante atac. c/ destino a empresa de const. civil, a órgão da adm pub. direta ou hospital e clínica de saúde - RCTE - Art. 45, X e Art. 46, § 4º - Anexo VIII";2009-01-01;2024-06-30
GO000016;"Baixa pela rest. sd. credor acum(em moeda), por processo, na op interna por cont. ind/com. atac. c/ dest a empresa de c.civil, a o. da adm pub. direta, hosp/clínica de saúde e, cia. est. de saneamento. Art. 45, X e Art. 46, § 4º III do Anexo VIII do RCTE.";2024-07-01;
GO000017;"ICMS déb. p/ compensar saldo credor ICMS acumulado, c/ imposto devido título de retido na fonte, relativo a nova aquis de mercadoria sujeito a ST, cuja responsabilidade pela apuração e pgto é do próprio adq. - RCTE - Art. 49, § 1º, I, ""b"" - Anexo VIII";2009-01-01;2013-07-31
GO000017;"Baixa do saldo credor acumulado por 3 meses consecutivos, no mínimo, em função da sistemática do regime da subst. tributária p/ compensar c/ ICMS ST cuja responsab. pela apuração e pgto. é do próprio adq. -RCTE - Art. 49, § 1º, I, ""b"" - Anexo VIII";2013-08-01;
GO000018;"Compensação de Auto de Infração. - RCTE - Art. 494";2009-01-01;2024-06-30
GO000019;"Débito do montante do imposto correspondente à diferença de alíquotas - RCTE - Art. 73, § 1º, I";2009-01-01;2015-02-28
GO000020;"Débito, mediante TARE, correspondente ao imposto devido na importação do exterior - RCTE - Art. 73, § 3º";2009-01-01;2020-12-31
GO000021;"ICMS debitado pelo contrib. substituído que mantiver estoque de mercadoria sujeito à ST e destinada à comercialização, e para a qual ocorra aumento da carga tributária na operação interna - RCTE - Art. 80, § Único - Anexo VIII";2009-01-01;2011-06-30
GO000022;"Débito referente ao valor à aplicação da alíquota própria sobre a entrada de mercadorias para as empresas que possuam TARE e que devam a ter a sua saída lançada em outros débitos - TARE 093/01-GSF";2009-01-01;2024-06-30
GO000023;"Cessão onerosa de meios das redes de telecomunicações. A tomadora do serviço fica obrigada ao recolhimento do imposto incidente sobre a cessão dos meios de rede na prestação de serviço a usuário final -RCTE - Art. 9º, § 4º, I do Anexo XIII";2010-11-01;2013-04-30
GO000023;"A tomadora do serviço fica obrigada ao recolhimento do imposto incidente sobre a cessão dos meios de rede na prestação de serviço a usuário final RCTE - Art. 9º-C, I, do Anexo XIII";2013-05-01;
GO000024;"Cessão onerosa de meios das redes de telecomunicações. A tomadora do serviço fica obrigada ao recolhimento do imposto incidente sobre a cessão dos meios de rede no consumo próprio -RCTE - Art. 9º, § 4º, II do Anexo XIII";2010-11-01;2013-04-30
GO000024;"A tomadora do serviço fica obrigada ao recolhimento do imposto incidente sobre a cessão dos meios de rede no consumo próprio RCTE - Art. 9º- C, II, do Anexo XIII";2013-05-01;
