CST_ICMS;DESC_CST;INICIO;FIM
000;Nacional - Tributada integralmente;2009-01-01;2012-12-31
010;Nacional - Tributada e com cobrança do ICMS por substituição tributária;2009-01-01;2012-12-31
020;Nacional - Com redução de base de cálculo;2009-01-01;2012-12-31
030;Nacional - Isenta ou não tributada e com cobrança do ICMS por substituição tributária;2009-01-01;2012-12-31
040;Nacional - Isenta;2009-01-01;2012-12-31
041;Nacional - Não tributada;2009-01-01;2012-12-31
050;Nacional - Suspensão;2009-01-01;2012-12-31
051;Nacional - Diferimento;2009-01-01;2012-12-31
060;Nacional - ICMS cobrado anteriormente por substituição tributária;2009-01-01;2012-12-31
070;Nacional - Com redução de base de cálculo e cobrança do ICMS por substituição tributária;2009-01-01;2012-12-31
090;Nacional - Outras;2009-01-01;2012-12-31
100;Estrangeira - Importação direta - Tributada integralmente;2009-01-01;2012-12-31
110;Estrangeira - Importação direta - Tributada e com cobrança do ICMS por substituição tributária;2009-01-01;2012-12-31
120;Estrangeira - Importação direta - Com redução de base de cálculo;2009-01-01;2012-12-31
130;Estrangeira - Importação direta - Isenta ou não tributada e com cobrança do ICMS por substituição tributária;2009-01-01;2012-12-31
140;Estrangeira - Importação direta - Isenta;2009-01-01;2012-12-31
141;Estrangeira - Importação direta - Não tributada;2009-01-01;2012-12-31
150;Estrangeira - Importação direta - Suspensão;2009-01-01;2012-12-31
151;Estrangeira - Importação direta - Diferimento;2009-01-01;2012-12-31
160;Estrangeira - Importação direta - ICMS cobrado anteriormente por substituição tributária;2009-01-01;2012-12-31
170;Estrangeira - Importação direta - Com redução de base de cálculo e cobrança do ICMS por substituição tributária;2009-01-01;2012-12-31
190;Estrangeira - Importação direta - Outras;2009-01-01;2012-12-31
200;Estrangeira - Adquirida no mercado interno - Tributada integralmente;2009-01-01;2012-12-31
210;Estrangeira - Adquirida no mercado interno - Tributada e com cobrança do ICMS por substituição tributária;2009-01-01;2012-12-31
220;Estrangeira - Adquirida no mercado interno - Com redução de base de cálculo;2009-01-01;2012-12-31
230;Estrangeira - Adquirida no mercado interno - Isenta ou não tributada e com cobrança do ICMS por substituição tributária;2009-01-01;2012-12-31
240;Estrangeira - Adquirida no mercado interno - Isenta;2009-01-01;2012-12-31
241;Estrangeira - Adquirida no mercado interno - Não tributada;2009-01-01;2012-12-31
250;Estrangeira - Adquirida no mercado interno - Suspensão;2009-01-01;2012-12-31
251;Estrangeira - Adquirida no mercado interno - Diferimento;2009-01-01;2012-12-31
260;Estrangeira - Adquirida no mercado interno - ICMS cobrado anteriormente por substituição tributária;2009-01-01;2012-12-31
270;Estrangeira - Adquirida no mercado interno - Com redução de base de cálculo e cobrança do ICMS por substituição tributária;2009-01-01;2012-12-31
290;Estrangeira - Adquirida no mercado interno - Outras;2009-01-01;2012-12-31
101;Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito;2010-10-01;
102;Simples Nacional - Tributada pelo Simples Nacional sem permissão de crédito;2010-10-01;2023-03-31
102;Para Simples Nacional: Tributada pelo Simples Nacional sem permissão de crédito / Para CST ICMS: Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributação monofásica própria sobre combustíveis;2023-04-01;
103;Simples Nacional - Isenção do ICMS no Simples Nacional para faixa de receita bruta;2010-10-01;
201;Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito e com cobrança do ICMS por substituição tributária;2010-10-01;
202;Simples Nacional - Tributada pelo Simples Nacional sem permissão de crédito e com cobrança do ICMS por substituição tributária;2010-10-01;2023-03-31
202;Para Simples Nacional: Tributada pelo Simples Nacional sem permissão de crédito e com cobrança do ICMS por substituição tributária / Para CST ICMS: Estrangeira - Adquirida no mercado interno, exceto a indicada no código 7 da Tabela A - Tributação monofásica própria sobre combustíveis;2023-04-01;
203;Simples Nacional - Isenção do ICMS no Simples Nacional para faixa de receita bruta e com cobrança do ICMS por substituição tributária;2010-10-01;
300;Simples Nacional - Imune;2010-10-01;2012-12-31
400;Simples Nacional - Não tributada pelo Simples Nacional;2010-10-01;2012-12-31
