COD_PAIS;NOME_PAIS;SITUACAO;INICIO;FIM
00132;AFEGANISTAO;;2006-01-01;
00153;ALAND, ILHAS;INCLUÍDO;2017-01-01;
00175;ALBANIA, REPUBLICA DA;;2006-01-01;
00200;CURACAO;ALTERADO;2015-12-07;2018-05-31
00230;ALEMANHA;;2006-01-01;
00310;BURKINA FASO;;2006-01-01;
00370;ANDORRA;;2006-01-01;
00400;ANGOLA;;2006-01-01;
00418;ANGUILLA;;2006-01-01;
00420;ANTARTICA;INCLUÍDO;2017-01-01;
00434;ANTIGUA E BARBUDA;;2006-01-01;
00477;ANTILHAS HOLANDESAS;EXCLUÍDO;2006-01-01;2018-05-31
00531;ARABIA SAUDITA;;2006-01-01;
00590;ARGELIA;;2006-01-01;
00639;ARGENTINA;;2006-01-01;
00647;ARMENIA, REPUBLICA DA;;2006-01-01;
00655;ARUBA;;2006-01-01;
00698;AUSTRALIA;;2006-01-01;
00728;AUSTRIA;;2006-01-01;
00736;AZERBAIJAO, REPUBLICA DO;;2006-01-01;
00779;BAHAMAS, ILHAS;;2006-01-01;
00809;BAHREIN, ILHAS;;2006-01-01;
00817;BANGLADESH;;2006-01-01;
00833;BARBADOS;;2006-01-01;
00850;BELARUS, REPUBLICA DA;;2006-01-01;
00876;BELGICA;;2006-01-01;
00884;BELIZE;;2006-01-01;
00906;BERMUDAS;;2006-01-01;
00930;MIANMAR (BIRMANIA);;2006-01-01;
00973;BOLIVIA, ESTADO PLURINACIONAL DA;;2006-01-01;
00981;BOSNIA-HERZEGOVINA (REPUBLICA DA);;2006-01-01;
00990;BONAIRE;INCLUÍDO;2017-01-01;
01015;BOTSUANA;;2006-01-01;
01023;BOUVET, ILHA;INCLUÍDO;2017-01-01;
01058;BRASIL;;2006-01-01;
01082;BRUNEI;;2006-01-01;
01112;BULGARIA, REPUBLICA DA;;2006-01-01;
01155;BURUNDI;;2006-01-01;
01198;BUTAO;;2006-01-01;
01279;CABO VERDE, REPUBLICA DE;;2006-01-01;
01376;CAYMAN, ILHAS;;2006-01-01;
01414;CAMBOJA;;2006-01-01;
01457;CAMAROES;;2006-01-01;
01490;CANADA;;2006-01-01;
01504;GUERNSEY, ILHA DO CANAL (INCLUI ALDERNEY E SARK);ALTERADO;2006-01-01;2018-05-31
01508;JERSEY, ILHA DO CANAL;ALTERADO;2006-01-01;2018-05-31
