CEST;"Descricao";Inicio;Fim
0100100;"Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores";2018-01-01;2023-08-31
0100100;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0100200;"Tubos e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos";2018-01-01;2023-08-31
0100200;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0100300;"Protetores de caçamba";2018-01-01;2023-08-31
0100300;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0100400;"Reservatórios de óleo";2018-01-01;2023-08-31
0100400;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0100500;"Frisos, decalques, molduras e acabamentos";2018-01-01;2023-08-31
0100500;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0100600;"Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias";2018-01-01;2023-08-31
0100600;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0100700;"Juntas, gaxetas e outros elementos com função semelhante de vedação";2018-01-01;2023-08-31
0100700;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0100800;"Partes de veículos automóveis, tratores e máquinas autopropulsadas";2018-01-01;2023-08-31
0100800;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0100900;"Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins";2018-01-01;2023-08-31
0100900;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0101000;"Tecidos impregnados, revestidos, recobertos ou estratificados, com plástico";2018-01-01;2023-08-31
0101000;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0101100;"Mangueiras e tubos semelhantes, de matérias têxteis, mesmo com reforço ou acessórios de outras matérias";2018-01-01;2023-08-31
0101100;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0101200;"Encerados e toldos";2018-01-01;2023-08-31
0101200;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0101300;"Capacetes e artefatos de uso semelhante, de proteção, para uso em motocicletas, incluídos ciclomotores";2018-01-01;2023-08-31
0101300;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0101400;"Guarnições de fricção (por exemplo, placas, rolos, tiras, segmentos, discos, anéis, pastilhas), não montadas, para freios, embreagens ou qualquer outro mecanismo de fricção, à base de amianto, de outras substâncias minerais ou de celulose, mesmo combinadas com têxteis ou outras matérias";2018-01-01;2023-08-31
0101400;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0101500;"Vidros de dimensões e formatos que permitam aplicação automotiva";2018-01-01;2023-08-31
0101500;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0101600;"Espelhos retrovisores";2018-01-01;2023-08-31
0101600;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0101700;"Lentes de faróis, lanternas e outros utensílios";2018-01-01;2023-08-31
0101700;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0101800;"Cilindro de aço para GNV (gás natural veicular)";2018-01-01;2023-08-31
0101800;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0101900;"Recipientes para gases comprimidos ou liquefeitos, de ferro fundido, ferro ou aço, exceto o descrito no item 18.0";2018-01-01;2023-08-31
0101900;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0102000;"Molas e folhas de molas, de ferro ou aço";2018-01-01;2023-08-31
0102000;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0102100;"Obras moldadas, de ferro fundido, ferro ou aço, exceto as do código 7325.91.00";2018-01-01;2023-08-31
0102100;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0102200;"Peso de chumbo para balanceamento de roda";2018-01-01;2023-08-31
0102200;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0102300;"Peso para balanceamento de roda e outros utensílios de estanho";2018-01-01;2023-08-31
0102300;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0102400;"Fechaduras e partes de fechaduras";2018-01-01;2023-08-31
0102400;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0102500;"Chaves apresentadas isoladamente";2018-01-01;2023-08-31
0102500;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0102600;"Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns";2018-01-01;2023-08-31
0102600;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0102700;"Triângulo de segurança";2018-01-01;2023-08-31
0102700;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0102800;"Motores de pistão alternativo dos tipos utilizados para propulsão de veículos do Capítulo 87";2018-01-01;2023-08-31
0102800;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0102900;"Motores dos tipos utilizados para propulsão de veículos automotores";2018-01-01;2023-08-31
0102900;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0103000;"Partes reconhecíveis como exclusiva ou principalmente destinadas aos motores das posições 8407 ou 8408";2018-01-01;2023-08-31
0103000;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0103100;"Motores hidráulicos";2018-01-01;2023-08-31
0103100;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0103200;"Bombas para combustíveis, lubrificantes ou líquidos de arrefecimento, próprias para motores de ignição por centelha ou por compressão";2018-01-01;2023-08-31
0103200;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0103300;"Bombas de vácuo";2018-01-01;2023-08-31
0103300;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0103400;"Compressores e turbocompressores de ar";2018-01-01;2023-08-31
0103400;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0103500;"Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00";2018-01-01;2023-08-31
0103500;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0103600;"Máquinas e aparelhos de ar condicionado";2018-01-01;2023-08-31
0103600;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0103700;"Aparelhos para filtrar óleos minerais nos motores de ignição por centelha ou por compressão";2018-01-01;2023-08-31
0103700;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0103800;"Filtros a vácuo";2018-01-01;2023-08-31
0103800;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0103900;"Partes dos aparelhos para filtrar ou depurar líquidos ou gases";2018-01-01;2023-08-31
0103900;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0104000;"Extintores, mesmo carregados";2018-01-01;2023-08-31
0104000;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0104100;"Filtros de entrada de ar para motores de ignição por centelha ou por compressão";2018-01-01;2023-08-31
0104100;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0104200;"Depuradores por conversão catalítica de gases de escape";2018-01-01;2023-08-31
0104200;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0104300;"Macacos";2018-01-01;2023-08-31
0104300;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0104400;"Partes para macacos do CEST 01.043.00";2018-01-01;2023-08-31
0104400;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0104500;"Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias";2018-01-01;2023-08-31
0104500;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0104501;"Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias";2018-01-01;2023-08-31
0104501;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0104600;"Válvulas redutoras de pressão";2018-01-01;2023-08-31
0104600;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0104700;"Válvulas para transmissão óleo-hidráulicas ou pneumáticas";2018-01-01;2023-08-31
0104700;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0104800;"Válvulas solenoides";2018-01-01;2023-08-31
0104800;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0104900;"Rolamentos";2018-01-01;2023-08-31
0104900;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0105000;"Árvores de transmissão e manivelas mancais e “bronzes”, engrenagens e rodas de fricção eixos de esferas ou de roletes redutores, multiplicadores, caixas de transmissão e variadores de velocidade, conversores de torque volantes e polias, polias cadernais embreagens e dispositivos de acoplamento,juntas de articulação";2018-01-01;2023-08-31
0105000;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
