CST;descCST
00;Tributada integralmente
02;Tributação monofásica própria sobre combustíveis
10;Tributada e com cobrança do ICMS por substituição tributária
15;Tributação monofásica própria e com responsabilidade pela retenção sobre combustíveis
20;Com redução de base de cálculo
30;Isenta ou não tributada e com cobrança do ICMS por substituição tributária
40;Isenta
41;Não tributada
50;Suspensão
51;Diferimento
53;Tributação monofásica sobre combustíveis com recolhimento diferido
60;ICMS cobrado anteriormente por substituição tributária
61;Tributação monofásica sobre combustíveis cobrada anteriormente
70;Com redução de base de cálculo e cobrança do ICMS por substituição tributária
90;Outras
