COD_MOD;"DESC_MOD";INICIO;FIM
01;"Nota Fiscal";2009-01-01;
1B;"Nota Fiscal Avulsa";2009-01-01;
02;"Nota Fiscal de Venda a Consumidor";2009-01-01;
2D;"Cupom Fiscal emitido por ECF";2009-01-01;
2E;"Bilhete de Passagem emitido por ECF";2009-01-01;
04;"Nota Fiscal de Produtor";2009-01-01;
06;"Nota Fiscal/Conta de Energia Elétrica";2009-01-01;
07;"Nota Fiscal de Serviço de Transporte";2009-01-01;
08;"Conhecimento de Transporte Rodoviário de Cargas";2009-01-01;
8B;"Conhecimento de Transporte de Cargas Avulso";2009-01-01;
09;"Conhecimento de Transporte Aquaviário de Cargas";2009-01-01;
10;"Conhecimento Aéreo";2009-01-01;
11;"Conhecimento de Transporte Ferroviário de Cargas";2009-01-01;
13;"Bilhete de Passagem Rodoviário";2009-01-01;
14;"Bilhete de Passagem Aquaviário";2009-01-01;
15;"Bilhete de Passagem e Nota de Bagagem";2009-01-01;
16;"Bilhete de Passagem Ferroviário";2009-01-01;
17;"Despacho de Transporte";2009-01-01;
18;"Resumo de Movimento Diário";2009-01-01;
20;"Ordem de Coleta de Cargas";2009-01-01;
21;"Nota Fiscal de Serviço de Comunicação";2009-01-01;
22;"Nota Fiscal de Serviço de Telecomunicação";2009-01-01;
23;"GNRE";2009-01-01;
24;"Autorização de Carregamento e Transporte";2009-01-01;
25;"Manifesto de Carga";2009-01-01;
26;"Conhecimento de Transporte Multimodal de Cargas";2009-01-01;
27;"Nota Fiscal de Transporte Ferroviário de Cargas";2009-01-01;
28;"Nota Fiscal/Conta de Fornecimento de Gás Canalizado";2009-01-01;
29;"Nota Fiscal/Conta de Fornecimento de Água Canalizada";2009-01-01;
30;"Bilhete/Recibo do Passageiro";2009-01-01;
55;"Nota Fiscal Eletrônica";2009-01-01;
57;"Conhecimento de Transporte Eletrônico – CT-e";2009-01-01;
59;"Cupom Fiscal Eletrônico – CF-e";2011-06-01;
60;"Cupom Fiscal Eletrônico CF-e-ECF";2013-01-01;
62;"Nota Fiscal Fatura Eletrônica de Serviços de Comunicação - NFCom";2023-06-01;
63;"Bilhete de Passagem Eletrônico - BP-e";2018-01-01;
65;"Nota Fiscal Eletrônica ao Consumidor Final – NFC-e";2013-10-01;
65;"Nota Fiscal Eletrônica ao Consumidor Final – NFC-e";2012-10-01;2013-09-30
66;"Nota Fiscal de Energia Elétrica Eletrônica - NF3e";2020-01-01;
67;"Conhecimento de Transporte Eletrônico para Outros Serviços - CT-e OS";2017-04-01;2017-06-30
67;"Conhecimento de Transporte Eletrônico para Outros Serviços - CT-e OS";2017-07-01;
